,text,is_fact,score
15,"Nassar, who pleaded guilty to several counts of first-degree criminal sexual conduct, and on Wednesday was given a sentence of forty to a hundred and seventy-five years in prison, had also received, in December, a separate sixty-year federal term for child-pornography crimes (which he has appealed).",0.952380952,TRUE
80,"The courtroom itself—its dimensions were simply wrong. Too tall, too narrow, why’s there a fern in the corner. Dreamlike, in the eeriest way.",0.956521739,FALSE
27,One of the special horrors of Nassar’s tenure as a gymnastics physician is that his repeated episodes of abuse coincided with moments of immense athletic pressure.,0.962962963,FALSE
82,"""If you look at most of the people here, if you check your bodies, you see the marks. They are beaten, mutilated.""",1,TRUE
17,Any budget proposal from the Trump administration will also be subject to scrutiny and approval by Congress.,1.058823529,FALSE
20,"Over the past two decades, hedge funds have grown explosively, with a collective $3.4 trillion under management",1.125,TRUE
60,he advocated the study of “backward races.”,1.142857143,FALSE
50,A grand jury was set to convene in the case on Feb. 13.,1.166666667,TRUE
32,"In the years between 1980 and 2000, the number of Americans who were overweight and obese skyrocketed.",1.176470588,TRUE
81,"Where do we most often find real truth, real facts in a new era of Internet hoaxes, fake news stories and new political administrations that tout their own ""alternative facts""?",1.266666667,FALSE
97,his role in the criminal conspiracy to obstruct justice — the Watergate coverup — definitively established.,1.285714286,FALSE
77,"“A lot of folks have been thinking, ‘Hold on a sec, why is it that some people are making a whole bunch of money off the same type of activity that other people are criminalized for?’” said Greg Minor, a city official overseeing cannabis regulation.",1.333333333,TRUE
33,"In May 2012, outside a Washington conference where Argentina’s vice president was scheduled to speak, a large inflatable rodent appeared, wearing an Argentine flag and holding a sign in its claws: “I’m the rat in the G20.”",1.384615385,TRUE
35,The mother of a teenage girl killed in Tuesday’s shooting at a Kentucky high school said her daughter called her as she died,1.416666667,TRUE
29,"I wasn’t doing the hard work I do during my Ashtanga classes, but it still “counted” as exercise, as far as the Watch was concerned",1.423076923,FALSE
6,"“Just saying that making everything private will magically fix everything is delusional,” Kunkel added.",1.428571429,TRUE
26,Here’s how to cheat at the Apple Watch Stand goal: dangle your wrist by your side while you sit in a chair,1.434782609,FALSE
76,It’s one of the biggest unsolved mysteries in U.S. law enforcement,1.454545455,FALSE
7,"The U.S. State Department has reneged on a pledge to contribute $45 million in food aid, health services and other relief promised to Palestinian refugees this month.",1.461538462,TRUE
74,The tax starts at 20% for the first 1.2 million washers imported this year.,1.461538462,TRUE
34,"At least 150 minutes of exercise weekly — that’s two hours and 30 minutes, or slightly more than 20 minutes a day — can help reduce the risk of heart disease and strokes, according to the Centers for Disease Control and Prevention.",1.463414634,TRUE
8,Iran is certain to be the top subject in today’s meeting.,1.5,FALSE
42,"A little more than a hundred years ago, German colonists stole these bones from what they called German Southwest Africa, following a Herero rebellion, in 1904. ",1.5,TRUE
91,"That's what helps the NYT remain, arguably, the agenda-setting news organization in America.",1.5,FALSE
69,LG Electronics told retailers on Wednesday that its laundry machines will get more expensive due to a tariff announced by the Trump administration earlier this week.,1.538461538,TRUE
2,"on December 3, 2001, Rumsfeld wrote: “I have a feeling we are going to have to make our case on anything we do after Afghanistan,”",1.56,TRUE
64,"A male same-sex couple is suing the U.S. State Department after one of their twins, born in Canada, was denied American citizenship, even though his birth certificate lists one citizen parent.",1.586206897,TRUE
52,"The play tells the story of the von Luschan Collection, which shocked and angered Kopp.",1.6,TRUE
13,A recent government audit found that both SpaceX and Boeing won’t be certified to start sending astronauts to the ISS until late 2019 or early 2020.,1.666666667,TRUE
46,Similar tactics killed ten thousand Nama men and women.,1.666666667,TRUE
95,"Air pollution in the U.S. causes as many as 200,000 premature deaths each year. Motor vehicles are a major source of this pollution",1.714285714,TRUE
12,"In a statement to the Washington Post Tuesday night, Carlos Diaz, a spokesperson for U.S. Customs and Border Protection, said that Warren’s arrest was “not retaliation” and “we’re protecting immigration laws in the area and there was a situation in which we needed to do the arrest because there were some illegal individuals in that area.”",1.754385965,TRUE
16,"In July 2014, when a House subcommittee held a hearing on Latin American economies, its members asked Glassman to speak first.",1.761904762,TRUE
21,"According to one staffer’s LinkedIn page, annual revenue is more than $60 million.",1.857142857,TRUE
44,"The encounter in 2003 was especially frightening. “I was arrested, I had an ounce of weed, and that’s when I went to Santa Rita Jail,” she said.",1.928571429,TRUE
61,"Late that year, Felix von Luschan put his life’s work, a collection of more than five thousand skulls, up for sale. ",1.954545455,TRUE
62,"Along with Charles E. Schumer and Nancy Pelosi, Democrats can put the blame squarely on the man who could have legalized the “dreamers” when he had the chance: Barack Obama.",2.24137931,FALSE
36,"Bailey’s parents said their daughter was “perfect in every way.""",2.272727273,TRUE
96,"Two years later, Richard Nixon would become the first and only U.S. president to resign",2.285714286,TRUE
11,Trump and Netanyahu are also likely to discuss the U.S. peace effort,2.363636364,FALSE
14,Cook County Board President Toni Preckwinkle’s sweetened beverage tax was sentenced to death at the tender age of two months old by a vote of 15 to 1 a day earlier.,2.40625,TRUE
68,"Immigration Equality, an LGBTQ advocacy nonprofit, filed suit on behalf of Ethan on Monday, accusing the State Department of discriminating against same-sex binational couples. ",2.52173913,TRUE
88,"After Meryl Streep's anti-Trump and pro-journalism speech at the Golden Globe awards in January, donations picked up to the Committee to Protect Journalists.",2.619047619,TRUE
38,"On a warm morning last September, a dozen Herero men and women paid a visit to the American Museum of Natural History, in Manhattan.",2.625,FALSE
3,President Donald Trump said in a meeting with Israeli Prime Minister Benjamin Netanyahu that he would cut off funding to the Palestinians unless they agree to resume peace talks.,2.75862069,TRUE
85,News stories from the BBC and the New York Times and Money magazine are reporting (with proof) that dystopian novels such as 1984 by George Orwell and Brave New World by Aldous Huxley are seeing a noticeable boost in sales. ,2.8,TRUE
72,"On Monday, U.S. Trade Representative Robert Lighthizer announced that President Trump approved tariffs on both washing machines and solar panels in order to protect U.S. manufacturing.",3.041666667,TRUE
1,The “Languages” memo is part of a roughly 900-page tranche of Rumsfeld’s memos released after a five-year Freedom of Information Act fight by the National Security Archive,3.192307692,TRUE
53,SIG Sauer P365 concealed-carry pistol has generated tons of buzz at SHOT Show.,3.333333333,FALSE
56,"When the American Museum of Natural History was founded, in 1869",3.363636364,TRUE
58,The suggested retail price on the Springfield Armory 911 .380 ACP pistol is $599,3.384615385,TRUE
63,Obama’s excuse was weak.,3.4,FALSE
66,President Trump was right to reverse Obama’s unconstitutional decision.,3.4,FALSE
0,"In a November 29, 2001 memo written by Rumsfeld and addressed to aide Larry Di Rita",3.4375,TRUE
59,Henry Fairfield Osborn was the museum’s president from 1908 to 1935,3.5,TRUE
51,"Cab driver George Lyon told the Associated Press he picked up Ryan Michael Stepanian, 25",4.6,TRUE
45,Sixty-five thousand Herero died. ,4.666666667,TRUE
